Size,Total time,Compute time,Gflops
1,51.162079289,51.162079,131.933653
1,49.949527593,49.949528,135.136413
1,49.960897458,49.960897,135.105659
1,50.116516221,50.116516,134.686138
1,50.82541063,50.082541,134.777506
2,31.754610548,31.754611,212.567557
2,32.341339874,32.341340,208.711204
2,32.524817770,32.524818,207.533830
2,31.535863470,31.535863,214.042023
2,32.248114451,32.248114,209.314563
4,13.283332786,13.283333,508.155604
4,13.248278844,13.248279,509.500146
4,13.316502645,13.316503,506.889848
4,13.334882131,13.334882,506.191201
4,13.135414715,13.135415,513.877951
6,8.582053058,8.582053,786.525084
6,8.560021253,8.560021,788.549444
6,8.591280538,8.591281,785.680315
6,8.602896873,8.602897,784.619425
6,8.587426497,8.587426,786.032929
8,6.460151525,6.460152,1044.867133
8,6.448823617,6.448824,1046.702531
8,6.446762741,6.446763,1047.037136
8,6.442891069,6.442891,1047.666324
8,6.481305319,6.481305,1041.456878
10,5.157665038,5.157665,1308.731752
10,5.151869795,5.151870,1310.203920
10,5.154632270,5.154632,1309.501754
10,5.121635714,5.121636,1317.938326
10,5.201137487,5.201137,1297.793034
12,4.312294568,4.312295,1565.291956
12,4.326617310,4.326617,1560.110247
12,4.336573592,4.336574,1556.528410
12,4.336691418,4.336691,1556.486120
12,4.325814724,4.325815,1560.399701
14,3.702387057,3.702387,1823.148119
14,3.724930209,3.724930,1812.114488
14,3.714770248,3.714770,1817.070653
14,3.715907632,3.715908,1816.514475
14,3.717635384,3.717635,1815.670259
16,3.211204279,3.211204,2102.015136
16,3.240268961,3.240269,2083.160405
16,3.240137562,3.240138,2083.244884
16,3.245968068,3.245968,2079.502897
16,3.244388393,3.244388,2080.515395
18,2.911495660,2.911496,2318.396037
18,2.904820069,2.904820,2323.723962
18,2.899203157,2.899203,2328.225942
18,2.904139855,2.904140,2324.268230
18,2.901713734,2.901714,2326.211549
20,2.612273074,2.612273,2583.956504
20,2.612886285,2.612886,2583.350083
20,2.598031088,2.598031,2598.121335
20,2.618150014,2.618150,2578.156318
20,2.607524011,2.607524,2588.662644
22,2.413331401,2.413331,2796.963565
22,2.413876873,2.413877,2796.331526
22,2.394945554,2.394946,2818.435680
22,2.415432002,2.415432,2794.531162
22,2.405760590,2.405761,2805.765473
24,2.180401515,2.180402,3095.760094
24,2.203922824,2.203923,3062.720675
24,2.209950434,2.209950,3054.367146
24,2.214133978,2.214134,3048.596005
24,2.208704792,2.208705,3056.089716
